,Count,Words
408,1,"Adelaide,"
409,1,moved
410,1,feeling.
411,1,"Benoni,"
412,1,them
413,1,gobsmacked
414,1,(about
415,1,batting
416,1,Striving
417,1,7
418,1,hit
419,1,catch-up
420,1,"around."""
421,1,David
